UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
P05164,MPO,17.4354475436195,15.9878320136753,1.44761552994425,0.00244058116001148,3.06451195615196
P02741,CRP,13.9356429807469,12.7673543790828,1.16828860166415,4.48854319122227e-08,5.59143172974614
P0DJI8,SAA1,12.3397116965257,11.1975722800505,1.14213941647518,7.99148273263225e-06,4.55609541671019
Q15848,ADIPOQ,11.2136790927484,10.077399844789,1.13627924795943,6.49461133997824e-22,10.6468230877315
P04406,GAPDH,13.4424294642708,12.4795255290341,0.962903935236655,0.0131582605632099,2.50717270374733
P01861,IGHG4,13.8367075327152,12.9779976737774,0.858709858937864,0.00045331159925986,3.54697342475065
Q15582,TGFBI,17.351100813156,16.49322385657,0.857876956585972,0.0212118527183992,2.32270669591726
P20742,PZP,16.6371093404203,15.7915398905826,0.845569449837647,2.83625885587124e-16,8.50556518937299
P07237,P4HB,16.4119900476837,15.6913021584008,0.720687889282919,1.24135126585975e-10,6.6546604439803
P10643,C7,16.719085764514,15.9989217628508,0.720164001663218,4.46931914675561e-22,10.2580809677937
O75369,FLNB,18.9463750382128,18.2309484666451,0.715426571567694,1.82241607375231e-09,6.205653822439
Q9HDC9,APMAP,14.7494588649284,14.040172071438,0.709286793490401,0.00272633242292199,3.03916166180407
Q9Y6R7,FCGBP,17.1211389567673,16.4303770527916,0.690761903975737,0.0168884778649205,2.40641508387578
P00338,LDHA,16.7295865026553,16.1023827316128,0.627203771042453,9.65134996432533e-06,4.53530106627865
B9A064,IGLL5,14.2802917142028,13.6577458757214,0.622545838481384,0.00732087158168914,2.69615795678385
P04424,ASL,16.2998933081997,15.6955813356891,0.604311972510551,6.73394155176984e-07,5.10129640365219
P42330,AKR1C3,14.6796453815743,14.077136754712,0.602508626862312,6.5455393179756e-05,4.08444374903288
P50225,SULT1A1,11.5711578316148,10.9829824852952,0.588175346319586,1.91927866499534e-06,4.91208514515686
P19320,VCAM1,10.7667907871575,10.1852013682185,0.581589418939002,1.62697436958994e-07,5.5257010747593
P04211,IGLV7-43,13.0627785085111,12.5025895378305,0.560188970680661,9.25920736165208e-05,3.95608557059463
P01780,IGHV3-7,13.4552086058972,12.8968072466131,0.558401359284103,0.00522055110198623,2.81454541383683
P23142,FBLN1,13.862693008058,13.3132539443739,0.54943906368403,3.75321378498131e-13,7.5012351273999
P04433,IGKV3-11,14.6400227083352,14.0950569644961,0.544965743839061,0.000209284350805642,3.74304673985592
P01860,IGHG3,14.2407472407616,13.7018537273358,0.538893513425776,0.0022496138993606,3.07470010246432
Q8NBP7,PCSK9,14.0559203294287,13.5274938164827,0.528426512946034,2.29697127844194e-11,6.96313768557711
P06331,IGHV4-34,13.0276401597984,12.5057420175394,0.521898142259021,0.000663812502750843,3.43922776266798
O00391,QSOX1,12.4858619093318,11.9645867436406,0.521275165691206,2.49206022784165e-19,9.49713823118465
