UniProtID	ProteinName
A5YKK6	CNOT1
B9A064	IGLL5
O00187	MASP2
O00391	QSOX1
O00429	DNM1L
O00533	CHL1
O14556	GAPDHS
O14791	APOL1
O14980	XPO1
O43707	ACTN4
O43866	CD5L
O60664	PLIN3
O60716	CTNND1
O75116	ROCK2
O75144	ICOSLG
O75347	TBCA
O75369	FLNB
O75390	CS
O75636	FCN3
O75882	ATRN
O95445	APOM
O95678	KRT75
P00338	LDHA
P00450	CP
P00533	EGFR
P00736	C1R
P00739	HPR
P00746	CFD
P00747	PLG
P00751	CFB
P00915	CA1
P01008	SERPINC1
P01011	SERPINA3
P01019	AGT
P01024	C3
P01031	C5
P01034	CST3
P01042	KNG1
P01344	IGF2
P01591	JCHAIN
P01717	IGLV3-25
P01771	IGHV3-33
P01773	IGHV3-30
P01780	IGHV3-7
P01781	IGHV3-7
P01860	IGHG3
P01861	IGHG4
P01871	IGHM
P01877	IGHA2
P02042	HBD
P02649	APOE
P02654	APOC1
P02655	APOC2
P02656	APOC3
P02741	CRP
P02743	APCS
P02745	C1QA
P02746	C1QB
P02747	C1QC
P02748	C9
P02749	APOH
P02750	LRG1
P02751	FN1
P02753	RBP4
P02760	AMBP
P02765	AHSG
P02766	TTR
P02774	GC
P02775	PPBP
P02786	TFRC
P02790	HPX
P02792	FTL
P03951	F11
P03952	KLKB1
P04003	C4BPA
P04004	VTN
P04040	CAT
P04066	FUCA1
P04075	ALDOA
P04114	APOB
P04180	LCAT
P04196	HRG
P04211	IGLV7-43
P04217	A1BG
P04220	IGHM
P04275	VWF
P04278	SHBG
P04406	GAPDH
P04424	ASL
P04433	IGKV3-11
P04792	HSPB1
P05090	APOD
P05154	SERPINA5
P05155	SERPING1
P05156	CFI
P05164	MPO
P05186	ALPL
P05362	ICAM1
P05452	CLEC3B
P05543	SERPINA7
P05546	SERPIND1
P06276	BCHE
P06331	IGHV4-34
P06396	GSN
P06681	C2
P06702	S100A9
P06727	APOA4
P06737	PYGL
P07195	LDHB
P07237	P4HB
P07333	CSF1R
P07357	C8A
P07358	C8B
P07359	GP1BA
P07360	C8G
P07737	PFN1
P07954	FH
P08185	SERPINA6
P08519	LPA
P08571	CD14
P08603	CFH
P08637	FCGR3A
P08697	SERPINF2
P09871	C1S
P0C0L4	C4A
P0C0L5	C4B
P0C0L5	C4B_2
P0DJI8	SAA1
P10643	C7
P10909	CLU
P11021	HSPA5
P11047	LAMC1
P11142	HSPA8
P11279	LAMP1
P11413	G6PD
P11532	DMD
P11766	ADH5
P12081	HARS1
P12111	COL6A3
P12277	CKB
P12429	ANXA3
P12830	CDH1
P12955	PEPD
P13473	LAMP2
P13591	NCAM1
P13598	ICAM2
P13647	KRT5
P13667	PDIA4
P13671	C6
P13796	LCP1
P13798	APEH
P13929	ENO3
P14151	SELL
P14314	PRKCSH
P14618	PKM
P14625	HSP90B1
P14923	JUP
P15144	ANPEP
P15169	CPN1
P15311	EZR
P15924	DSP
P16070	CD44
P16284	PECAM1
P17936	IGFBP3
P17948	FLT1
P18206	VCL
P18428	LBP
P19320	VCAM1
P19367	HK1
P19823	ITIH2
P19827	ITIH1
P19971	TYMP
P20618	PSMB1
P20700	LMNB1
P20742	PZP
P20810	CAST
P20851	C4BPB
P20930	FLG
P22105	TNXB
P22307	SCP2
P22352	GPX3
P22792	CPN2
P23142	FBLN1
P23229	ITGA6
P23368	ME2
P23396	RPS3
P24666	ACP1
P24821	TNC
P25311	AZGP1
P26038	MSN
P26927	MST1
P27169	PON1
P27824	CANX
P27918	CFP
P29350	PTPN6
P29622	SERPINA4
P30041	PRDX6
P30048	PRDX3
P30084	ECHS1
P30101	PDIA3
P30613	PKLR
P31327	CPS1
P31939	ATIC
P31943	HNRNPH1
P31948	STIP1
P32119	PRDX2
P33151	CDH5
P33908	MAN1A1
P34932	HSPA4
P35232	PHB
P35442	THBS2
P35542	SAA4
P35573	AGL
P35858	IGFALS
P35900	KRT20
P36955	SERPINF1
P36980	CFHR2
P38646	HSPA9
P39019	RPS19
P40227	CCT6A
P42330	AKR1C3
P42765	ACAA2
P43251	BTD
P43652	AFM
P46939	UTRN
P48047	ATP5PO
P48147	PREP
P48740	MASP1
P49327	FASN
P49736	MCM2
P49908	SELENOP
P50225	SULT1A1
P50454	SERPINH1
P50991	CCT4
P51610	HCFC1
P51884	LUM
P52566	ARHGDIB
P53396	ACLY
P54108	CRISP3
P54578	USP14
P55058	PLTP
P55786	NPEPPS
P60660	MYL6
P61106	RAB14
P61626	LYZ
P61764	STXBP1
P61769	B2M
P62158	CALM1
P62158	CALM2
P62158	CALM3
P62263	RPS14
P62701	RPS4X
P62847	RPS24
P63104	YWHAZ
P68871	HBB
P69905	HBA1
P69905	HBA2
P78371	CCT2
P78417	GSTO1
P78527	PRKDC
P80108	GPLD1
P81605	DCD
Q00839	HNRNPU
Q01581	HMGCS1
Q02790	FKBP4
Q02809	PLOD1
Q02880	TOP2B
Q03591	CFHR1
Q04695	KRT17
Q04756	HGFAC
Q06033	ITIH3
Q08380	LGALS3BP
Q09666	AHNAK
Q10589	BST2
Q12805	EFEMP1
Q12913	PTPRJ
Q13103	SPP2
Q13201	MMRN1
Q13228	SELENBP1
Q13263	TRIM28
Q13451	FKBP5
Q13564	NAE1
Q13576	IQGAP2
Q13790	APOF
Q14012	CAMK1
Q14203	DCTN1
Q14204	DYNC1H1
Q14315	FLNC
Q14520	HABP2
Q14624	ITIH4
Q14766	LTBP1
Q14974	KPNB1
Q15029	EFTUD2
Q15063	POSTN
Q15075	EEA1
Q15149	PLEC
Q15428	SF3A2
Q15485	FCN2
Q15582	TGFBI
Q15691	MAPRE1
Q15746	MYLK
Q15848	ADIPOQ
Q15942	ZYX
Q16363	LAMA4
Q16401	PSMD5
Q16610	ECM1
Q32MZ4	LRRFIP1
Q3LXA3	TKFC
Q562R1	ACTBL2
Q5JRA6	MIA3
Q6EMK4	VASN
Q6UX04	CWC27
Q7KZF4	SND1
Q7L8L6	FASTKD5
Q7Z3U7	MON2
Q86V81	ALYREF
Q86VB7	CD163
Q86WR0	CCDC25
Q8IZ83	ALDH16A1
Q8NBP7	PCSK9
Q8NBS9	TXNDC5
Q8NC51	SERBP1
Q8WU39	MZB1
Q92820	GGH
Q92835	INPP5D
Q92945	KHSRP
Q92954	PRG4
Q96BY6	DOCK10
